City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Braunau,CZ,50.5857,16.3318,34.14,92,97,4.34,overcast clouds
291,Tete,MZ,-16.1564,33.5867,86.14,42,40,7.0,scattered clouds
292,Lazaro Cardenas,MX,17.9583,-102.2,74.68,83,31,5.64,scattered clouds
293,Omaruru,NA,-21.4333,15.9333,91.17,18,2,8.12,clear sky
294,Manggar,ID,-2.8833,108.2667,82.36,76,100,4.32,light rain
295,Umm Lajj,SA,25.0213,37.2685,79.18,40,0,9.06,clear sky
296,Aklavik,CA,68.2191,-135.0107,3.42,97,100,1.41,overcast clouds
297,Esna,EG,25.2934,32.554,71.62,36,65,6.82,broken clouds
298,Muscat,OM,23.6139,58.5922,84.22,34,98,4.72,overcast clouds
299,Iznoski,RU,54.9881,35.3108,23.56,76,100,5.73,overcast clouds
300,El Tigre,VE,8.8875,-64.2454,68.13,90,0,7.47,clear sky
301,Amuntai,ID,-2.4177,115.2494,78.89,93,100,2.73,overcast clouds
302,Ithaca,US,42.4406,-76.4966,32.7,73,100,11.5,overcast clouds
303,Vesele,UA,47.0148,34.915,37.87,64,100,18.37,overcast clouds
304,Emerald,AU,-23.5333,148.1667,65.34,73,39,18.32,scattered clouds
305,Hasaki,JP,35.7333,140.8333,46.8,81,100,19.73,overcast clouds
306,Biak,ID,-0.9131,122.8766,80.4,77,100,1.68,overcast clouds
307,Oranjemund,NA,-28.55,16.4333,68.09,70,2,14.05,clear sky
308,Imatra,FI,61.1719,28.7524,31.1,87,100,2.51,overcast clouds
309,Songea,TZ,-10.6833,35.65,67.35,88,75,6.91,light rain
310,Ereymentau,KZ,51.6199,73.1033,1.51,86,100,16.75,overcast clouds
311,Zhuhai,CN,22.2769,113.5678,58.78,82,40,23.02,scattered clouds
312,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,75,0,6.91,clear sky
313,Chara,RU,56.9064,118.2631,-18.17,78,100,1.99,overcast clouds
314,Ilulissat,GL,69.2167,-51.1,21.22,73,100,26.46,overcast clouds
315,Karambakkudi,IN,10.4667,79.1333,85.42,62,99,6.4,overcast clouds
316,Kalaleh,IR,37.3807,55.4916,55.0,88,100,0.0,mist
317,Okha,RU,53.5739,142.9478,1.65,87,100,22.37,light snow
318,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,88,75,7.54,broken clouds
319,Fortuna,US,40.5982,-124.1573,46.92,96,100,0.0,moderate rain
320,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,100,100,24.16,moderate rain
321,Rawson,AR,-43.3002,-65.1023,57.25,68,0,14.94,clear sky
322,Sinnamary,GF,5.3833,-52.95,76.19,87,60,9.95,broken clouds
323,Filadelfia,US,39.9523,-75.1638,37.87,59,20,17.27,few clouds
324,Volot,RU,57.9278,30.7025,20.77,80,15,3.58,few clouds
325,Wamba,NG,8.9333,8.6,87.17,21,34,3.78,scattered clouds
326,Lucea,JM,18.451,-78.1736,76.86,77,12,17.25,few clouds
327,Cidreira,BR,-30.1811,-50.2056,71.56,95,100,17.9,overcast clouds
328,Maniitsoq,GL,65.4167,-52.9,15.44,69,45,16.35,scattered clouds
329,Nizhniy Tsasuchey,RU,50.5167,115.1333,4.51,83,100,7.43,overcast clouds
330,Russell,US,32.3502,-85.1999,42.4,42,0,10.36,clear sky
331,Boca Do Acre,BR,-8.7522,-67.3978,72.37,92,98,1.5,overcast clouds
332,Kiunga,PG,-6.1219,141.2906,75.63,96,96,2.13,overcast clouds
333,Port Elizabeth,ZA,-33.918,25.5701,77.09,70,0,13.8,clear sky
334,Guzelyurt,TR,38.2772,34.3719,52.61,52,80,0.6,broken clouds
335,Georgetown,MY,5.4112,100.3354,85.98,75,20,8.05,few clouds
